Date,OFZ_26209
2018-12-07,985.7
2018-12-10,985.04
2018-12-11,984.98
2018-12-12,985.57
2018-12-13,985.55
2018-12-14,981.51
2018-12-17,982.49
2018-12-18,981.6
2018-12-19,981.61
2018-12-20,983.5
2018-12-21,983.99
2018-12-24,984.46
2018-12-25,984.0
2018-12-26,984.53
2018-12-27,986.0
2018-12-28,987.0
2018-12-29,988.0
2019-01-03,988.04
2019-01-04,988.44
2019-01-08,988.98
2019-01-09,991.48
2019-01-10,990.26
2019-01-11,993.47
2019-01-14,992.53
2019-01-15,994.19
2019-01-16,995.0
2019-01-17,994.99
2019-01-18,994.9
2019-01-21,994.98
2019-01-22,992.6
2019-01-23,991.78
2019-01-24,991.79
2019-01-25,991.95
2019-01-28,991.79
2019-01-29,991.99
2019-01-30,992.81
2019-01-31,995.49
2019-02-01,994.5
2019-02-04,994.49
2019-02-05,994.99
2019-02-06,995.6
2019-02-07,994.5
2019-02-08,995.99
2019-02-11,994.5
2019-02-12,994.98
2019-02-13,993.49
2019-02-14,990.75
2019-02-15,993.0
2019-02-18,992.79
2019-02-19,991.0
2019-02-20,991.3
2019-02-21,992.3
2019-02-22,992.79
2019-02-25,993.25
2019-02-26,992.89
2019-02-27,992.89
2019-02-28,992.99
2019-03-01,993.91
2019-03-04,993.8
2019-03-05,993.9
2019-03-06,993.85
2019-03-07,994.3
2019-03-11,994.61
2019-03-12,992.99
2019-03-13,993.0
2019-03-14,993.0
2019-03-15,993.47
2019-03-18,994.5
2019-03-19,995.0
2019-03-20,994.81
2019-03-21,996.2
2019-03-22,995.0
2019-03-25,996.46
2019-03-26,995.93
2019-03-27,994.4
2019-03-28,994.0
2019-03-29,993.0
2019-04-01,993.5
2019-04-02,992.4
2019-04-03,992.3
2019-04-04,992.67
2019-04-05,993.5
2019-04-08,994.41
2019-04-09,994.69
2019-04-10,995.79
2019-04-11,995.59
2019-04-12,995.0
2019-04-15,994.81
2019-04-16,995.19
2019-04-17,995.28
2019-04-18,995.2
2019-04-19,995.5
2019-04-22,995.4
