Date,PIKK
2016-10-03,236.49920654296875
2016-10-04,236.49920654296875
2016-10-05,235.0408172607422
2016-10-06,235.9320831298828
2016-10-07,235.77003479003906
2016-10-10,235.60797119140625
2016-10-11,234.8787841796875
2016-10-12,233.33938598632812
2016-10-13,233.42042541503906
2016-10-14,235.0408172607422
2016-10-17,233.33938598632812
2016-10-18,233.09634399414062
2016-10-19,233.5824432373047
2016-10-20,230.0985870361328
2016-10-21,233.5824432373047
2016-10-24,231.71897888183594
2016-10-25,231.5569305419922
2016-10-26,230.90878295898438
2016-10-27,230.1796112060547
2016-10-28,228.3971405029297
2016-10-31,230.9897918701172
2016-11-01,233.82553100585938
2016-11-02,228.23512268066406
2016-11-03,226.8577423095703
2016-11-07,226.8577423095703
2016-11-08,226.8577423095703
