Date,YNDX
2018-06-15,2268.0
2018-06-18,2287.0
2018-06-19,2295.0
2018-06-20,2301.5
2018-06-21,2270.5
2018-06-22,2217.0
2018-06-25,2177.0
2018-06-26,2185.0
2018-06-27,2227.5
2018-06-28,2193.5
2018-06-29,2244.0
2018-07-02,2253.5
2018-07-03,2254.0
2018-07-04,2236.0
2018-07-05,2226.0
2018-07-06,2315.0
2018-07-09,2320.5
2018-07-10,2311.5
2018-07-11,2303.0
2018-07-12,2345.0
2018-07-13,2380.5
2018-07-16,2323.0
2018-07-17,2420.0
2018-07-18,2398.5
2018-07-19,2381.0
2018-07-20,2329.5
2018-07-23,2333.0
2018-07-24,2377.0
2018-07-25,2391.5
2018-07-26,2430.0
2018-07-27,2388.0
2018-07-30,2242.5
2018-07-31,2250.0
2018-08-01,2272.0
2018-08-02,2237.0
2018-08-03,2252.5
2018-08-06,2230.5
2018-08-07,2272.5
2018-08-08,2185.0
2018-08-09,2132.0
2018-08-10,2128.0
2018-08-13,2152.5
2018-08-14,2150.0
2018-08-15,2091.0
2018-08-16,2123.5
2018-08-17,2099.0
2018-08-20,2133.5
2018-08-21,2164.0
2018-08-22,2137.0
2018-08-23,2120.0
2018-08-24,2115.0
2018-08-27,2151.0
2018-08-28,2153.5
2018-08-29,2168.5
2018-08-30,2142.0
2018-08-31,2150.0
2018-09-03,2179.5
2018-09-04,2168.0
2018-09-05,2125.0
2018-09-06,2105.5
2018-09-07,2098.5
2018-09-10,2111.5
2018-09-11,2094.5
2018-09-12,2066.5
2018-09-13,2132.0
2018-09-14,2187.0
2018-09-17,2148.0
2018-09-18,2144.5
2018-09-19,2145.0
2018-09-20,2174.5
2018-09-21,2204.0
2018-09-24,2193.5
2018-09-25,2213.0
2018-09-26,2216.0
2018-09-27,2185.0
2018-09-28,2160.5
2018-10-01,2134.0
2018-10-02,2136.5
2018-10-03,2172.5
2018-10-04,2157.5
2018-10-05,2143.0
2018-10-08,2170.5
2018-10-09,2220.0
2018-10-10,2146.0
2018-10-11,2118.0
2018-10-12,2140.0
2018-10-15,2178.0
2018-10-16,2307.0
2018-10-17,2310.0
2018-10-18,2235.0
2018-10-19,1790.0
2018-10-22,1755.0
2018-10-23,1754.5
2018-10-24,1781.0
2018-10-25,1777.0
2018-10-26,1746.5
2018-10-29,1859.5
2018-10-30,1843.0
2018-10-31,1916.5
2018-11-01,1999.0
2018-11-02,1995.0
2018-11-06,2002.0
2018-11-07,1995.0
2018-11-08,1982.0
2018-11-09,1921.5
2018-11-12,1886.0
2018-11-13,1903.5
2018-11-14,1940.0
2018-11-15,1920.0
2018-11-16,1916.0
2018-11-19,1924.5
2018-11-20,1902.0
2018-11-21,1909.0
2018-11-22,1921.0
2018-11-23,1898.5
2018-11-26,1920.0
2018-11-27,1945.0
2018-11-28,1945.5
2018-11-29,1967.5
2018-11-30,1965.0
2018-12-03,1989.0
2018-12-04,1957.5
2018-12-05,1955.0
2018-12-06,1914.0
2018-12-07,1912.5
2018-12-10,1903.0
2018-12-11,1869.5
2018-12-12,1871.5
2018-12-13,1888.0
2018-12-14,1860.5
2018-12-17,1869.0
2018-12-18,1856.0
2018-12-19,1894.0
2018-12-20,1864.0
2018-12-21,1860.5
2018-12-24,1840.5
2018-12-25,1828.0
2018-12-26,1832.0
2018-12-27,1880.0
2018-12-28,1916.0
2019-01-03,1859.5
2019-01-04,1916.0
2019-01-08,1926.5
2019-01-09,1960.0
2019-01-10,1985.0
2019-01-11,1983.0
2019-01-14,1992.5
2019-01-15,1999.5
2019-01-16,1980.0
2019-01-17,1993.5
2019-01-18,2044.5
2019-01-21,2044.5
2019-01-22,2051.0
2019-01-23,2060.0
2019-01-24,2083.0
2019-01-25,2152.0
2019-01-28,2167.0
2019-01-29,2152.0
2019-01-30,2157.0
2019-01-31,2212.0
2019-02-01,2197.199951171875
2019-02-04,2212.0
2019-02-05,2250.800048828125
2019-02-06,2244.0
2019-02-07,2192.199951171875
2019-02-08,2163.39990234375
2019-02-11,2196.0
2019-02-12,2230.0
2019-02-13,2258.0
2019-02-14,2264.0
2019-02-15,2200.199951171875
2019-02-18,2161.0
2019-02-19,2126.60009765625
2019-02-20,2166.199951171875
2019-02-21,2115.0
2019-02-22,2133.0
2019-02-25,2214.60009765625
2019-02-26,2169.60009765625
2019-02-27,2163.0
2019-02-28,2208.0
2019-03-01,2247.39990234375
2019-03-04,2303.60009765625
2019-03-05,2340.199951171875
2019-03-06,2362.0
2019-03-07,2329.199951171875
2019-03-11,2355.39990234375
2019-03-12,2353.0
2019-03-13,2340.0
2019-03-14,2317.0
2019-03-15,2346.0
2019-03-18,2324.0
2019-03-19,2320.0
2019-03-20,2303.60009765625
2019-03-21,2271.800048828125
2019-03-22,2276.39990234375
2019-03-25,2298.39990234375
2019-03-26,2308.0
2019-03-27,2286.60009765625
2019-03-28,2316.0
2019-03-29,2285.0
2019-04-01,2242.0
2019-04-02,2246.60009765625
2019-04-03,2268.199951171875
2019-04-04,2283.0
2019-04-05,2291.60009765625
2019-04-08,2299.0
2019-04-09,2338.0
2019-04-10,2348.39990234375
2019-04-11,2431.60009765625
2019-04-12,2431.60009765625
2019-04-15,2453.0
2019-04-16,2499.800048828125
2019-04-17,2451.0
2019-04-18,2383.199951171875
2019-04-19,2415.199951171875
2019-04-22,2400.0
2019-04-23,2412.800048828125
2019-04-24,2410.60009765625
2019-04-25,2407.60009765625
2019-04-26,2389.0
2019-04-29,2406.0
2019-04-30,2391.0
2019-05-02,2413.0
2019-05-03,2414.0
2019-05-06,2407.0
2019-05-07,2388.60009765625
2019-05-08,2379.0
2019-05-10,2340.0
2019-05-13,2286.60009765625
2019-05-14,2289.39990234375
2019-05-15,2314.800048828125
2019-05-16,2400.0
2019-05-17,2425.0
2019-05-20,2407.800048828125
2019-05-21,2392.39990234375
2019-05-22,2424.800048828125
2019-05-23,2365.0
2019-05-24,2383.39990234375
2019-05-27,2404.60009765625
2019-05-28,2280.199951171875
2019-05-29,2350.199951171875
2019-05-30,2379.60009765625
